question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
34,102.62229657173157,3065.8249767397806,1205322804.0677967,3682.318683404844,38222.72674689387,228976,829
35,157.34300708770752,3083.918433880848,1205060639.2022161,3682.5532365541508,38163.767879768246,229079,860
36,95.75693774223328,3063.3080684934403,1204975764.9454546,3672.705166770278,38146.6563794358,229075,886
37,127.85071325302124,3073.256222062832,1205088241.9243987,3652.376964654636,37893.015038658894,229078,890
38,129.1535050868988,3077.0825749763726,1205205849.945946,3667.8137359204566,38091.61816158132,229087,899
39,128.86475229263306,3080.369091918938,1205230402.3703704,3691.5757919568487,38375.03205508204,229075,1203
40,124.77930808067322,2483.216206004937,1205249264.7298245,3574.8314913848285,37817.75257921065,229060,798
41,124.17597723007202,2504.3169132773473,1205255203.804196,3600.2937925076535,38166.48039112236,229088,826
42,103.7850387096405,3062.0983905890253,1205109149.0420167,3673.1883972847486,38106.417352356155,229069,933
43,146.7548804283142,3104.5441124023064,1205181882.3195267,3696.0338110523903,38326.58909594132,229057,1568
44,161.93719959259033,3092.0999082346807,1205116861.7574124,3705.911930735028,38177.98514210497,229084,866
45,112.79482078552246,3067.428075070112,1205191317.6615384,3699.620222753715,38278.344430457895,229104,896
46,82.58686923980713,3036.899234813387,1205346069.3333333,3688.5524636544683,38493.46789946707,229056,871
47,185.70833826065063,3092.774429944582,1205223462.5505881,3694.2821546175433,38083.653465648225,229088,878
48,107.18268752098083,2419.7564550640395,1205277200.516129,3723.01730092267,38283.8133182355,229081,817
49,94.36964964866638,3031.3983475093933,1205463634.580645,3674.9739062414865,38165.71337722348,229069,841
50,114.89554715156555,3055.192378665054,1205269767.7575758,3698.272130942284,38187.76365816902,229057,826
51,125.83376812934875,3065.8940420781823,1205150844.013841,3704.1964722924517,38236.771190497304,229060,844
52,87.16120481491089,3038.4274811526916,1205360168.96,3674.364078377356,38052.00957287147,229055,865
53,89.87084245681763,3034.7773821198352,1205024441.5072465,3685.110664887022,38261.541852711845,229085,900
54,160.003515958786,2640.8419681781465,1209929049.0434783,3652.4759877810006,38216.935192693345,229079,793
55,152.2174322605133,3076.257384230621,1210775505.1885715,3701.921597492199,38297.05253484442,229059,870
56,196.59167408943176,3102.028622649712,1205683666.2857144,3684.311674717748,38040.21220450057,229076,847
57,136.487370967865,3089.904926803201,1205279468.3076923,3671.526504221292,38083.97042993691,229089,909
58,120.61387991905212,3074.165263971795,1205455042.3357663,3665.407333689182,37828.04270173632,229037,90
59,106.48302674293518,3064.1127509240473,1205690368.0,3692.062594624582,38273.6772672589,229077,909
60,236.1596715450287,2821.972082024088,1210773405.0260222,3629.5697499586217,37960.02061381048,229074,811
