question_idx,latency_s,cluster_cpu_percent_top,cluster_mem_bytes,cluster_rx_bytes_per_s,cluster_tx_bytes_per_s,request_bytes,response_bytes
31,211.773992061615,1558.3358314555608,4186284820.756757,32717759.789805047,32774993.276703067,229099,891
32,168.8685941696167,1551.9818903493656,4190358593.361702,34984450.80359971,35044073.03856595,229061,872
33,156.64802408218384,1558.1364746225236,4191642267.2217193,36844138.04652912,36900841.50673581,229079,870
34,149.7045407295227,1552.25752584117,4186983063.1619043,36507302.2726438,36563642.35397265,228976,499
35,195.26368618011475,1363.18741701142,4186485214.3649635,30215786.598219246,30272388.187670987,229079,1154
36,196.00877904891968,1554.2569137883725,4186914668.6618705,33309707.30841857,33368721.45082651,229075,867
37,165.58133029937744,1324.817233944081,4191940733.2052402,32797917.36291189,32853703.930052634,229078,892
38,171.9554624557495,1552.6113342790934,4190486864.900433,34323500.48500978,34380811.365741685,229087,898
39,148.93699312210083,1543.5520429201144,4186796568.854369,37334218.27202769,37393945.59573368,229075,904
40,155.0084993839264,1549.7150217874153,4186870044.444444,36036963.748448774,36095308.671701014,229060,929
41,179.9898328781128,1551.8876568386893,4186864822.1343875,34745423.41641609,34804165.56218585,229088,880
42,197.61568093299866,1366.4047241855794,4186870302.117647,30908643.45461998,30964105.51587066,229069,855
43,178.2630271911621,1344.32250913711,4191905532.8653064,31496275.085574,31551483.925876293,229057,797
44,216.15564513206482,1390.530419949749,4190090341.721854,30108846.054072198,30165040.695635125,229084,850
45,166.43455290794373,1550.483331082874,4186925187.845494,35757212.26163702,35815704.06414983,229104,958
46,173.6809117794037,1552.1797832476145,4187070720.0,34879507.95476184,34937795.96060129,229056,908
47,178.0258400440216,1550.4209946811607,4187076998.095238,34735111.697666496,34793549.35479216,229088,948
48,173.10889601707458,1551.3125332017116,4187177369.6000004,35471422.458810784,35530440.991278306,229081,873
49,149.02829098701477,1551.1752732918721,4187139800.6153846,37621539.37931506,37677674.26447407,229069,885
50,260.0843770503998,1557.8751964847343,4187137871.153203,31326039.96979478,31383122.295032345,229057,854
51,210.23793172836304,1559.8136706543655,4187162133.041096,32869231.6233804,32926888.393023957,229060,851
52,279.35943365097046,1562.757320540125,4187213750.670077,29987868.863117225,30045997.252725463,229055,815
53,191.6289894580841,1362.0173061398414,4188030806.7438016,31320804.05983062,31371552.712357055,229085,768
54,236.02766180038452,1398.5394655952327,4194960473.6,29347121.66855315,29401763.077537272,229079,864
55,169.19296646118164,1555.460640619344,4193470419.6709957,35838467.46602903,35897529.21196924,229059,1210
56,168.073175907135,1550.9732507466447,4187820254.40724,35425274.70469034,35479729.59286986,229076,814
57,148.58992719650269,1550.7174971240158,4187305805.4564104,37527714.4299674,37580434.46387415,229089,901
58,230.12627863883972,1402.2518501958623,4187260715.6655517,30174484.522464406,30226955.109793328,229037,753
59,304.4191873073578,1442.4452147185123,4191658360.754717,27797592.559289612,27853766.44291126,229077,814
60,161.68770217895508,1553.581358475723,4189131019.130435,35792249.50945741,35849351.700134724,229074,860
